country,total_weekly_hours_worked(estimates_in_thousands),percentage_of_working_hrs_lost,percent_hours_lost_40hrs_per_week,percent_hours_lost_48hrs_per_week,labour_dependency_ratio,employed_female_25+_2019,employed_male_25+_2019,ratio_of_weekly_hours_worked_by_population_age_15-64,Developing Country
Afghanistan,350285.606,6.5,607.476,506.23,3.57,1334.243,5424.911,16.2,1
Angola,457913.43300000000,8.6,1075.838,896.5320000000000,1.7,4612.109,4724.669,27.1,1
Albania,49922.483,3.9,51.087000000000000,42.572000000000000,1.77,500.11200000000000,651.87,25.5,1
United Arab Emirates,320690.368,9.3,824.579,687.1490000000000,0.41,996.03,5111.77,38.6,1
Argentina,525994.01,21.0,3492.559,2910.466,1.43,7264.33,9496.191000000000,18.1,1
Armenia,31639.032000000000,16.8,159.418,132.84800000000000,1.72,407.158,519.975,15.8,1
Australia,403947.393,4.7,503.05300000000000,419.211,0.99,5017.147,5849.21,24.6,0
Austria,142519.045,10.5,417.616,348.01300000000000,1.05,1843.945,2109.049,23.8,0
Azerbaijan,153216.26,14.1,630.631,525.526,1.13,2106.548,2237.431,21.7,1
Burundi,203899.701,-0.1,-4.467,-3.7230000000000000,1.36,1931.6230000000000,1838.0770000000000,32.7,1
Belgium,164758.728,7.3,322.644,268.87,1.43,2104.738,2433.703,22.3,0
Benin,193658.604,3.2,161.66300000000000,134.719,1.53,1816.0520000000000,1961.556,29.2,1
Burkina Faso,323122.078,2.6,217.41400000000000,181.178,1.77,2373.467,2825.9710000000000,29.0,1
Bangladesh,2812817.837,12.2,9732.437,8110.365,1.67,16704.776,39120.428,25.1,1
Bulgaria,119513.123,6.0,189.273,157.727,1.41,1446.55,1662.408,26.9,0
Bahrain,41146.771,9.0,101.505,84.588,0.76,169.787,724.9010000000000,30.6,1
Bahamas,7071.777000000000,14.8,30.725,25.604,1.12,88.76100000000000,89.90300000000000,25.5,1
Bosnia and Herzegovina,40903.955,9.7,110.369,91.97400000000000,2.55,405.275,630.467,18.5,1
Belarus,165398.24,1.3,54.217,45.181000000000000,0.99,2201.323,2228.734,26.1,1
Belize,6547.332000000000,11.1,20.473,17.061,1.68,52.105,82.163,25.0,1
Bolivia,181961.22,20.5,1172.289,976.908,1.18,2022.9560000000000,2520.366,25.0,1
Brazil,3037976.789,14.9,13321.031,11100.859000000000,1.23,34791.765,46018.66,20.5,1
Barbados,4607.039000000000,10.4,13.338,11.115,1.07,63.388000000000000,64.389,24.1,1
Brunei Darussalam,8955.392,4.4,10.375,8.646,1.17,74.766,106.428,28.4,1
Bhutan,14032.632,11.9,47.559,39.632,1.2,131.936,201.132,26.4,1
Botswana,36136.906,6.4,61.876000000000000,51.563,2.12,369.495,403.17900000000000,24.8,1
Central African Republic,65138.828,5.0,85.036,70.86400000000000,1.57,584.0510000000000,715.193,25.1,1
Canada,567205.382,9.3,1455.596,1212.997,0.96,7971.517,8965.794,22.7,0
Channel Islands,2820.192,5.9,4.419,3.682,1.11,31.874000000000000,39.786,24.2,1
Switzerland,165645.895,3.8,165.668,138.056,0.85,1945.255,2249.777,29.0,0
Chile,274178.522,16.7,1373.181,1144.317,1.32,3404.3060000000000,4713.975,20.9,1
China,33243962.453,4.1,35499.789,29583.157000000000,0.81,306274.252,391436.456,32.8,1
Côte d'Ivoire,339054.893,4.2,370.211,308.509,2.22,2521.9410000000000,3812.659,23.1,1
Cameroon,424398.549,4.2,467.634,389.695,1.44,3918.367,4405.171000000000,29.0,1
"Congo, Democratic Republic of the",912738.406,6.6,1615.3020000000000,1346.085,1.92,10977.385,12194.538,19.9,1
Congo,72855.83,9.3,187.84900000000000,156.541,1.86,790.561,848.186,23.6,1
Colombia,801036.723,20.9,5284.354,4403.628,1.26,8485.082,11748.15,22.9,1
Comoros,8839.473,7.1,16.964000000000000,14.137,3.17,71.499,125.11200000000000,17.6,1
Cape Verde,7307.454000000000,13.3,28.013,23.345,1.82,83.13,101.899,19.6,1
Costa Rica,74936.948,17.5,396.022,330.019,1.34,792.453,1235.401,21.3,1
Cuba,174546.52,12.5,620.948,517.457,1.27,1764.0930000000000,2769.8,22.6,1
Cyprus,19179.205,14.6,82.194,68.495,1.03,240.949,294.71300000000000,23.0,0
Czechia,197622.982,4.3,224.61,187.175,1.16,2262.931,2808.0230000000000,28.8,0
Germany,1400830.793,6.3,2354.46,1962.05,1.09,17931.513,20561.755,26.0,0
Djibouti,13871.065,6.8,25.387000000000000,21.156,1.76,121.171,192.174,21.1,1
Denmark,94071.469,3.3,79.025,65.854,1.08,1142.972,1312.896,25.6,0
Dominican Republic,161608.408,15.5,742.2860000000000,618.572,1.62,1668.362,2446.326,22.9,1
Algeria,415765.777,11.6,1362.2420000000000,1135.201,2.61,1861.749,8228.521,15.2,1
Ecuador,260862.435,17.6,1391.951,1159.9590000000000,1.32,2855.862,4041.473,22.7,1
Egypt,1126411.1570000000,9.5,2971.985,2476.654,2.31,4360.616,19475.926,18.1,1
Eritrea,46972.555,14.7,201.93200000000000,168.27700000000000,1.29,515.4170000000000,608.132,24.4,1
Western Sahara,7915.984,8.2,17.732,14.777000000000000,1.92,39.272,140.613,19.1,1
Spain,632419.656,13.2,2412.864,2010.72,1.47,8526.593,10246.208,20.6,0
Estonia,24201.696,4.5,28.225,23.521,1.34,301.975,321.927,28.9,0
Ethiopia,1446939.754,9.5,3802.008,3168.34,1.29,16381.662,19110.676,22.3,1
Finland,90321.06300000000,1.3,30.853,25.711,1.19,1103.607,1191.265,26.5,0
Fiji,14856.976,6.3,24.902000000000000,20.752,1.4,98.685,200.84100000000000,25.4,1
